id,line,log_line
64509,231,5.442417711
64511,46,3.828641396
64512,2,0.693147181
64515,23,3.135494216
64521,41,3.713572067
64537,74,4.304065093
64546,4,1.386294361
64553,1109,7.011213987
64554,97,4.574710979
64558,8,2.079441542
64559,16,2.772588722
64568,86,4.454347296
64569,8,2.079441542
64578,80,4.382026635
64590,6,1.791759469
64591,1,0
64596,181664,12.10991411
64598,160,5.075173815
64605,1,0
64613,2,0.693147181
64623,315,5.752572639
64628,1,0
64629,14,2.63905733
64635,16,2.772588722
64638,264,5.575949103
64640,148,4.997212274
64641,3,1.098612289
64642,46,3.828641396
64643,346,5.846438775
64645,278,5.627621114
64648,357,5.877735782
64651,156,5.049856007
64656,35,3.555348061
64666,30,3.401197382
64670,70,4.248495242
64673,175,5.164785974
64676,296,5.690359454
64682,648,6.473890696
64688,2,0.693147181
64690,997,6.90475077
64695,39,3.663561646
64696,51,3.931825633
64702,258,5.552959585
64712,6,1.791759469
64714,81,4.394449155
64721,34,3.526360525
64722,22,3.091042453
64724,30,3.401197382
64725,72,4.276666119
64732,29,3.36729583
64737,199,5.293304825
64747,584,6.369900983
64769,67,4.204692619
64771,1,0
64772,14,2.63905733
64773,80,4.382026635
64777,64,4.158883083
64779,15,2.708050201
64786,26423,10.18199012
64787,4,1.386294361
64794,10,2.302585093
64796,264,5.575949103
64798,2,0.693147181
64799,18,2.890371758
64802,269,5.59471138
64814,704,6.556778356
64822,101,4.615120517
64824,51,3.931825633
64835,1,0
64840,82,4.406719247
64843,1442,7.273786318
64848,10,2.302585093
64888,7,1.945910149
64889,85,4.442651256
64893,1448,7.277938573
64914,417,6.033086222
64915,12,2.48490665
64917,68,4.219507705
64925,0,0
64931,413,6.023447593
64933,10,2.302585093
64939,17,2.833213344
64940,4,1.386294361
64941,51,3.931825633
64942,12,2.48490665
64944,876,6.775366091
64945,87,4.465908119
64946,44,3.784189634
64949,70,4.248495242
64950,43,3.761200116
64951,2,0.693147181
64958,100,4.605170186
64962,61,4.110873864
64984,4,1.386294361
64987,57,4.043051268
64988,136208,11.82193841
64989,7,1.945910149
64996,2,0.693147181
64997,87,4.465908119
64999,65,4.17438727
65014,258,5.552959585
65016,5,1.609437912
65019,2,0.693147181
65020,2,0.693147181
65021,1,0
65022,66,4.189654742
65023,2,0.693147181
65024,2,0.693147181
65025,1,0
65027,9,2.197224577
65028,23,3.135494216
65029,56,4.025351691
65030,17,2.833213344
65034,83,4.418840608
65035,161347,11.9913126
65037,11,2.397895273
65038,49,3.891820298
65039,7,1.945910149
65042,92,4.521788577
65045,17,2.833213344
65071,211,5.351858133
65108,64,4.158883083
65114,17,2.833213344
65127,1021,6.928537818
65129,1782,7.485491608
65131,17,2.833213344
65148,6,1.791759469
65169,22,3.091042453
65170,36,3.583518938
65174,16,2.772588722
65175,28,3.33220451
65181,1986,7.593877845
65182,8,2.079441542
