NUMBER,Del_include?,Add_include?,SATD,sub_name,broken?
4638,0,0,SATD_have,qt/qtdeclarative,1
4699,0,0,SATD_have,qt/qtdeclarative,1
4712,0,0,SATD_have,qt/qtdeclarative,1
4713,0,0,SATD_have,qt/qtlocation,1
4735,0,0,SATD_have,qt/qtdeclarative,1
4753,0,0,SATD_have,qt/qtdeclarative,1
4783,0,0,SATD_have,qt/qtconnectivity,1
4830,0,0,SATD_have,qt/qttools,1
4833,0,0,SATD_have,qt/qttools,1
4856,0,0,SATD_have,qt/qtlocation,1
4857,0,0,SATD_have,qt/qtdeclarative,1
5010,0,0,SATD_have,qt/qtdoc,1
5037,0,0,SATD_have,qt/qtqa,1
5038,0,0,SATD_have,qt/qtqa,1
5040,0,0,SATD_have,qt/qtdeclarative,1
5114,0,0,SATD_have,qt/qtdeclarative,1
5172,0,0,SATD_have,qt/qtdeclarative,1
5189,0,0,SATD_have,qt/qtdeclarative,1
5192,0,0,SATD_have,qt/qtdeclarative,1
5198,0,0,SATD_have,qt/qtlocation,1
5199,0,0,SATD_have,qt/qtdeclarative,1
5211,0,0,SATD_have,qt/qtlocation,1
5215,0,0,SATD_have,qt/qtlocation,1
5245,0,0,SATD_have,qt/qtdeclarative,1
5246,0,0,SATD_have,qt/qtdeclarative,1
5269,0,0,SATD_have,qt/qtlocation,1
5274,0,0,SATD_have,qt/qtlocation,1
5283,0,0,SATD_have,qt/qtlocation,1
5284,0,0,SATD_have,qt/qtlocation,1
5349,0,0,SATD_have,qt/qtdeclarative,1
5357,0,0,SATD_have,qt/qtdeclarative,1
5370,0,0,SATD_have,qt/qtdeclarative,1
5393,0,0,SATD_have,qt/qtdeclarative,1
5425,0,0,SATD_have,qt/qtdeclarative,1
5438,0,0,SATD_have,qt/qtdeclarative,1
5443,0,0,SATD_have,qt/qtdeclarative,1
5481,0,0,SATD_have,qt/qtdeclarative,1
5507,0,0,SATD_have,qt/qtqa,1
5531,0,0,SATD_have,qt/qtlocation,1
5564,0,0,SATD_have,qt/qtdeclarative,1
5567,0,0,SATD_have,qt/qtlocation,1
5576,0,0,SATD_have,qt/qtdeclarative,1
5579,0,0,SATD_have,qt/qtdeclarative,1
5589,0,0,SATD_have,qt/qtsensors,1
5667,0,0,SATD_have,qt/qtdeclarative,1
5676,0,0,SATD_have,qt/qtdeclarative,1
5682,0,0,SATD_have,qt/qttools,1
5694,0,0,SATD_have,qt/qtdoc,1
5733,0,0,SATD_have,qt/qtdeclarative,1
5762,0,0,SATD_have,qt/qtdeclarative,1
5773,0,0,SATD_have,qt/qtscript,1
5776,0,0,SATD_have,qt/qtdeclarative,1
5803,0,0,SATD_have,qt/qtdeclarative,1
5805,0,0,SATD_have,qt/qtdeclarative,1
5827,0,0,SATD_have,qt/qtdeclarative,1
5844,0,0,SATD_have,qt/qtdeclarative,1
5893,0,0,SATD_have,qt/qtdeclarative,1
5901,0,0,SATD_have,qt/qtlocation,1
5911,0,0,SATD_have,qt/qtdeclarative,1
5939,0,0,SATD_have,qt/qtlocation,1
5950,0,0,SATD_have,qt/qtdeclarative,1
5954,0,0,SATD_have,qt/qtsensors,1
5962,0,0,SATD_have,qt/qtdeclarative,1
6018,0,0,SATD_have,qt/qtlocation,1
6030,0,0,SATD_have,qt/qtlocation,1
6041,0,0,SATD_have,qt/qtlocation,1
6100,0,0,SATD_have,qt/qtdeclarative,1
6102,0,0,SATD_have,qt/qtdeclarative,1
6107,0,0,SATD_have,qt/qtlocation,1
6108,0,0,SATD_have,qt/qtlocation,1
6118,0,0,SATD_have,qt/qtdeclarative,1
6184,0,0,SATD_have,qt/qtdeclarative,1
6205,0,0,SATD_have,qt/qtlocation,1
6206,0,0,SATD_have,qt/qtlocation,1
6214,0,0,SATD_have,qt/qtdeclarative,1
6218,0,0,SATD_have,qt/qtlocation,1
6278,0,0,SATD_have,qt/qtdeclarative,1
6289,0,0,SATD_have,qt/qtlocation,1
6293,0,0,SATD_have,qt/qtdeclarative,1
6297,0,0,SATD_have,qt/qtlocation,1
6303,0,0,SATD_have,qt/qtdeclarative,1
6313,0,0,SATD_have,qt/qtdeclarative,1
6314,0,0,SATD_have,qt/qtdeclarative,1
6350,0,0,SATD_have,qt/qtdeclarative,1
6385,0,0,SATD_have,qt/qtdeclarative,1
6471,0,0,SATD_have,qt/qtlocation,1
6473,0,0,SATD_have,qt/qtdeclarative,1
6537,0,0,SATD_have,qt/qtdeclarative,1
6574,0,0,SATD_have,qt/qtdeclarative,1
6636,0,0,SATD_have,qt/qtdeclarative,1
6645,0,0,SATD_have,qt/qtdeclarative,1
6657,0,0,SATD_have,qt/qtdeclarative,1
6711,0,0,SATD_have,qt/qtdeclarative,1
6717,0,0,SATD_have,qt/qtdeclarative,1
6723,0,0,SATD_have,qt/qtlocation,1
6726,0,0,SATD_have,qt/qtdeclarative,1
6729,0,0,SATD_have,qt/qtsensors,1
6798,0,0,SATD_have,qt/qtsensors,1
6804,0,0,SATD_have,qt/qtlocation,1
6851,0,0,SATD_have,qt/qtdeclarative,1
6870,0,0,SATD_have,qt/qtdeclarative,1
6880,0,0,SATD_have,qt/qtdeclarative,1
6881,0,0,SATD_have,qt/qtdeclarative,1
6887,0,0,SATD_have,qt/qtdeclarative,1
6966,0,0,SATD_have,qt/qtdeclarative,1
6988,0,0,SATD_have,qt/qtdeclarative,1
6995,0,0,SATD_have,qt/qtlocation,1
7016,0,0,SATD_have,qt/qttools,1
7023,0,0,SATD_have,qt/qtdeclarative,1
7024,0,0,SATD_have,qt/qtdeclarative,1
7035,0,0,SATD_have,qt/qtlocation,1
7036,0,0,SATD_have,qt/qtdeclarative,1
7038,0,0,SATD_have,qt/qtdeclarative,1
7094,0,0,SATD_have,qt/qtdeclarative,1
7099,0,0,SATD_have,qt/qtlocation,1
7100,0,0,SATD_have,qt/qtdeclarative,1
7103,0,0,SATD_have,qt/qtdeclarative,1
7111,0,0,SATD_have,qt/qtdeclarative,1
7312,0,0,SATD_have,qt/qtdeclarative,1
7322,0,0,SATD_have,qt/qtlocation,1
7326,0,0,SATD_have,qt/qtdeclarative,1
7328,0,0,SATD_have,qt/qtdeclarative,1
7381,0,0,SATD_have,qt/qtlocation,1
7409,0,0,SATD_have,qt/qtdeclarative,1
7418,0,0,SATD_have,qt/qtlocation,1
7422,0,0,SATD_have,qt/qtmultimedia,1
