id,line,log_line
1349,4,1.386294361
1350,43,3.761200116
1351,17,2.833213344
1354,231,5.442417711
1355,2,0.693147181
1357,4,1.386294361
1362,2,0.693147181
1363,1,0
1364,5,1.609437912
1365,5,1.609437912
1372,1054,6.960347729
1377,30,3.401197382
1378,50,3.912023005
1380,65,4.17438727
1381,1362,7.216709487
1383,4,1.386294361
1384,15,2.708050201
1385,49,3.891820298
1386,4,1.386294361
1388,764,6.638567789
1389,2,0.693147181
1395,4,1.386294361
1396,26,3.258096538
1397,5,1.609437912
1406,56,4.025351691
1410,17,2.833213344
1420,60,4.094344562
1421,10,2.302585093
1430,2,0.693147181
1431,18,2.890371758
1433,3,1.098612289
1434,7,1.945910149
1435,60,4.094344562
1436,4,1.386294361
1437,12,2.48490665
1438,25,3.218875825
1439,5,1.609437912
1440,25,3.218875825
1449,24,3.17805383
1450,38,3.63758616
1451,160,5.075173815
1452,28,3.33220451
1453,50,3.912023005
1454,2,0.693147181
1455,28,3.33220451
1456,29,3.36729583
1465,683,6.52649486
1466,1649,7.407924323
1467,4,1.386294361
1468,226,5.420534999
1471,239,5.476463552
1474,83,4.418840608
1475,6,1.791759469
1477,158,5.062595033
1479,39,3.663561646
1480,560,6.327936784
1482,4,1.386294361
1484,473,6.159095388
1485,4,1.386294361
1486,26,3.258096538
1487,3,1.098612289
1488,18,2.890371758
1489,231,5.442417711
1493,33,3.496507561
1496,64,4.158883083
1497,18,2.890371758
1498,40,3.688879454
1499,749,6.618738984
1501,48,3.871201011
1509,573,6.350885717
1510,8,2.079441542
1514,864,6.761572769
1515,71,4.262679877
1516,31,3.433987204
1522,10,2.302585093
1530,4295,8.365206834
1535,3,1.098612289
1537,4405,8.390495538
1539,4418,8.393442384
1541,4,1.386294361
1542,15,2.708050201
1543,46,3.828641396
1544,3,1.098612289
1547,64,4.158883083
1550,17,2.833213344
1551,10,2.302585093
1558,68,4.219507705
1561,22,3.091042453
1562,4,1.386294361
1574,18,2.890371758
1583,1541,7.340186835
1584,24,3.17805383
1585,6,1.791759469
1586,9,2.197224577
1598,1,0
1612,9257,9.133135301
1613,540,6.29156914
1614,9,2.197224577
1615,2,0.693147181
1616,58,4.060443011
1617,4,1.386294361
1618,612,6.416732283
1619,30,3.401197382
1620,25,3.218875825
1621,109,4.691347882
1622,2,0.693147181
1623,2410,7.787382026
1624,37,3.610917913
1626,162,5.087596335
1627,807,6.693323668
1628,4,1.386294361
1630,47,3.850147602
1631,27,3.295836866
1632,2,0.693147181
1633,10,2.302585093
1634,509,6.232448017
1635,2,0.693147181
1636,791,6.673297968
1639,2,0.693147181
1640,2,0.693147181
1643,9,2.197224577
1644,6,1.791759469
1645,24,3.17805383
1647,2,0.693147181
1648,37,3.610917913
1655,16,2.772588722
1656,4,1.386294361
1666,28,3.33220451
1667,6,1.791759469
1669,1,0
1672,9,2.197224577
